viewCount,likeCount,subscribers,totalViews,totalVideos,durationSecs,title length,Label
5208,297,101000,4735276,66,572,56,0
18771,480,101000,4735276,66,1735,88,0
4291,268,101000,4735276,66,1170,72,0
6142,188,101000,4735276,66,2801,67,0
1522,43,101000,4735276,66,778,80,0
1249,34,101000,4735276,66,1180,75,0
3115,95,101000,4735276,66,893,86,0
1805,66,101000,4735276,66,686,96,0
1185,39,101000,4735276,66,597,82,0
39091,558,101000,4735276,66,1121,100,0
1671,54,101000,4735276,66,1770,96,0
1236,46,101000,4735276,66,1435,97,0
1278,55,101000,4735276,66,744,82,0
2108,75,101000,4735276,66,681,88,0
245332,3670,101000,4735276,66,594,58,1
4063,70,57000,5006198,249,425,46,0
9502,172,57000,5006198,249,341,13,0
1189,24,57000,5006198,249,307,17,0
1738,45,57000,5006198,249,404,40,0
887,17,57000,5006198,249,289,18,0
851,17,57000,5006198,249,307,20,0
2220,26,57000,5006198,249,253,19,0
1680,42,57000,5006198,249,301,20,0
926,21,57000,5006198,249,482,22,0
2078,36,57000,5006198,249,317,27,0
1406,22,57000,5006198,249,332,29,0
516,6,57000,5006198,249,296,31,0
533,10,57000,5006198,249,439,17,0
19671,310,57000,5006198,249,320,16,0
23560,352,57000,5006198,249,388,18,0
5810,82,57000,5006198,249,319,17,0
1234,34,57000,5006198,249,496,16,0
215579,5698,57000,5006198,249,1124,40,1
43766,965,57000,5006198,249,1214,42,0
10097,259,57000,5006198,249,1438,37,0
677,15,57000,5006198,249,656,36,0
1291,33,57000,5006198,249,1421,48,0
5126,113,57000,5006198,249,1085,51,0
616,12,57000,5006198,249,472,12,0
1112,29,57000,5006198,249,455,12,0
502,16,57000,5006198,249,512,19,0
9444,316,57000,5006198,249,1215,34,0
943,16,57000,5006198,249,1220,23,0
16859,476,57000,5006198,249,1049,57,0
3582,120,57000,5006198,249,1013,35,0
229123,1478,47500,5917076,253,199,62,0
74460,694,47500,5917076,253,330,55,0
52679,366,47500,5917076,253,79,62,0
84438,618,47500,5917076,253,315,68,0
55144,397,47500,5917076,253,469,65,0
69967,780,47500,5917076,253,604,55,0
70196,774,47500,5917076,253,453,69,0
58397,499,47500,5917076,253,261,68,0
64723,943,47500,5917076,253,725,61,0
